Track Name,Artist,Album,Popularity,Duration (min),Added Date
Blue Strips,Jessie Murph,Sex Hysteria,76,2.45,9/26/2025
Take My Mind,WizTheMc & bees & honey,Take My Mind,83,2.85,9/26/2025
Escapism.,RAYE & 070 Shake,My 21st Century Blues,79,4.54,9/26/2025
La portiță la Gheorghiță,David Ciente & Surorile Osoianu,La portiță la Gheorghiță,37,3.63,9/23/2025
for me?,Asal,for me?,53,2.23,9/23/2025
Jealous Type,Doja Cat,Jealous Type,87,2.73,9/23/2025
Half Of My Heart,Michael Schulte & ÁSDÍS,Half Of My Heart,50,2.64,9/22/2025
Bubblegum Bitch,MARINA,Electra Heart (Deluxe),77,2.58,9/16/2025
Leave Me Alone,Reneé Rapp,BITE ME,75,2.36,9/16/2025
Love Hangover (feat. Dominic Fike),JENNIE & Dominic Fike,Ruby,73,3,9/9/2025
Guilty,The Rasmus,Dead Letters,51,3.78,9/9/2025
Strong,London Grammar,If You Wait (Deluxe Version),62,4.59,9/9/2025
Body & Soul,Chris de Sarandy,Body & Soul,43,2.83,9/8/2025
Offline,Mindme,Offline,23,2.98,9/8/2025
Pick Up,ÁSDÍS,Pick Up,55,3.2,9/8/2025
Stop This Flame,Celeste,Not Your Muse (Deluxe),61,3.49,9/8/2025
Nicaieri,Irina Rimes,Cosmos,26,4.04,9/6/2025
RUN! (feat. Lay Bankz),VALORANT & Odetari & Lay Bankz,VALORANT Sounds Vol. 1,64,2.47,9/1/2025
OUT OF BOUNDS,Odetari,OUT OF BOUNDS,59,2.13,8/19/2025
Summer Breeze,Seals and Crofts,Summer Breeze,70,3.42,8/19/2025
In the Shadows,The Rasmus,Dead Letters,75,4.3,8/6/2025
The Woods - Acoustic,Hollow Coves,The Woods (Acoustic),66,4,8/6/2025
SLIDE,Chase Atlantic,BEAUTY IN DEATH,63,3.93,8/6/2025
Got Me Obsessed,Jade LeMac,Confessions (Deluxe Version),44,3.12,8/6/2025
Bloodsucker,Cil,Bloodsucker,66,2.62,8/6/2025
i guess u never really cared about me,Artemas,i guess u never really cared about me,58,3.19,8/6/2025
I Can Die Now,Ruel,I Can Die Now,64,2.85,7/29/2025
All At Once,Madison Beer,F1 The Album,57,2.58,7/7/2025
Lose My Mind (feat. Doja Cat) [From F1® The Movie],Don Toliver & Doja Cat & F1 The Album,Lose My Mind (feat. Doja Cat) [From F1® The Movie],85,3.48,7/5/2025
Talk That Talk,Rihanna & JAY-Z,Talk That Talk,72,3.49,7/5/2025
Falling Forever,Dua Lipa,Radical Optimism,64,3.72,7/5/2025
Străin în țara lui,David Ciente & Irina Rimes,Străin în țara lui,35,3.47,6/26/2025
Nu știu,Irina Rimes,ACASĂ,50,3.18,6/26/2025
Dincolo de noi,Mihail,Dincolo de noi,46,3.44,6/26/2025
Snakebite,DI-RECT,Wild Hearts,32,3.39,6/24/2025
we never dated,sombr,we never dated,79,3.28,6/23/2025
Zombie,YUNGBLUD,Zombie,70,4.12,6/21/2025
Midnight Sun,Zara Larsson,Midnight Sun,78,3.16,6/21/2025
My Favourite Game,The Cardigans,Gran Turismo (Remastered),72,3.67,6/21/2025
Fame is a Gun,Addison Rae,Addison,80,3.05,6/19/2025
Adeline,Timpuri Noi,Back in Business,50,2.84,6/17/2025
Nunta,Phoenix,Cei Ce Ne-Au Dat Nume,50,4.32,6/17/2025
Control,Kensington,Control,34,4.59,6/17/2025
Perfect Family Day,Kensington,Time,26,4.52,6/17/2025
Island,Kensington,Time,43,4.61,6/17/2025
Part Of Me,Kensington,Time,36,3.76,6/17/2025
What Lies Ahead,Kensington,Time,42,3.4,6/17/2025
Bats,Kensington,Time,32,3.58,6/17/2025
Naked,DI-RECT,Wild Hearts,21,3.91,6/16/2025
De nu-mi dai iubirea ta,DOMINO & Alina Eremia,De nu-mi dai iubirea ta,37,3.16,5/31/2025
Hollywood Sextape,Henry Morris,Jawbreaker,41,3.53,5/27/2025
Stellarvision,Xenia,Stellarvision,49,3.34,5/26/2025
Psst,Abor & Tynna,Bittersüß,47,2.51,5/26/2025
Chimera (feat. Lil West),Polyphia & Lil West,Remember That You Will Die,49,3.94,5/18/2025
Memento Mori (feat. Killstation),Polyphia & Killstation,Remember That You Will Die,45,2.74,5/18/2025
Reverie,Polyphia,Remember That You Will Die,54,4.04,5/18/2025
Genesis (feat. Brasstracks),Polyphia & Brasstracks,Remember That You Will Die,46,3.24,5/18/2025
Ritual,Reignwolf,Hear Me Out,47,3.35,5/18/2025
Simplify,Young the Giant,Mirror Master,46,3.54,5/18/2025
Thank God I'm Not You,HIMALAYAS,Thank God I'm Not You,55,3.24,5/18/2025
Taste It,Modern Alibi,American Radio,48,2.84,5/18/2025
HYPNOTIC DATA - Demo,ODECORE & Odetari,HYPNOTIC DATA (What's Going On?),46,2.54,5/17/2025
Vixen,Ayesha Erotica,Vixen,57,3.4,5/17/2025
did i tell u that i miss u - slowed,adore,did i tell u that i miss u,65,2.3,5/17/2025
life force,ptasinski & RJ Pasin,freedom from self,73,1.82,5/17/2025
DESIRE,Odetari,DESIRE,52,1.88,5/17/2025
Blessings,Calvin Harris & Clementine Douglas,Blessings,87,3.66,5/15/2025
JDNT,Glass Animals,ZABA,43,4.39,5/11/2025
HEAVY LOVE,Odetari,HEAVY LOVE,71,2.37,5/10/2025
Baba Vanga,F.Charm & Paula Danca,Baba Vanga,46,3.27,5/10/2025
Graveyard Whistling,Nothing But Thieves,Nothing But Thieves (Deluxe),47,3.87,5/9/2025
Last Orders,Nothing But Thieves,Graveyard Whistling - EP,44,3.98,5/9/2025
Particles,Nothing But Thieves,Broken Machine (Deluxe),54,3.93,5/9/2025
City Haunts,Nothing But Thieves,Dead Club City,50,3.19,5/9/2025
Sorry,Nothing But Thieves,Broken Machine (Deluxe),60,3.58,5/9/2025
Something On My Mind,Purple Disco Machine & Duke Dumont & Nothing But Thieves,Paradise,56,3.61,5/9/2025
Overcome,Nothing But Thieves,Dead Club City,60,3.58,5/9/2025
Your Blood,Nothing But Thieves,Moral Panic (The Complete Edition),43,4.85,5/9/2025
Members Only,Nothing But Thieves,Dead Club City,47,2.82,5/1/2025
Who Did You Touch?,Montell Fish,Who Did You Touch?,60,3.48,4/30/2025
Love Me Not,Ravyn Lenae,Bird's Eye,89,3.56,4/30/2025
Cherry,Lana Del Rey,Lust For Life,72,3.02,4/28/2025
Obsession,Joywave,Possession,48,3.11,4/26/2025
Secrets,George Barnett,Secrets,34,3.61,4/26/2025
R.I.P. 2 My Youth,The Neighbourhood,Wiped Out!,63,3.42,4/26/2025
Hot Mess,Friday Pilots Club,Hot Mess,51,3.18,4/25/2025
Heart-Shaped Box,Nirvana,In Utero (Deluxe Edition),81,4.69,4/20/2025
Solstitiu,Andia,Egotic,36,4.15,4/15/2025
Pastila de somn,Holy Molly,Pastila de somn,38,2.6,4/9/2025
Aer,Andia,Pietre Pretioase,26,3.58,4/9/2025
Scream My Name,Tove Lo,Queen Of The Clouds (Blueprint Edition),36,3.58,4/8/2025
Influence,Tove Lo & Wiz Khalifa,Lady Wood,43,3.74,4/7/2025
Jimmy Samurai,Delia & Oana Matache,FLEX,24,2.46,4/6/2025
LV Bag (feat. j-hope of BTS & Pharrell Williams),Don Toliver & Speedy & j-hope & Pharrell Williams,LV Bag (feat. j-hope of BTS & Pharrell Williams),65,3.04,4/4/2025
safety net (feat. Ty Dolla $ign),Ariana Grande & Ty Dolla $ign,Positions,69,3.47,4/4/2025
Dear god,Tate McRae,So Close To What,74,2.85,4/4/2025
Heartbeat,Childish Gambino,Camp,82,4.5,4/4/2025
Sad Girl,Lana Del Rey,Ultraviolence (Deluxe),78,5.3,4/4/2025
Breezeblocks,alt-J,An Awesome Wave,71,3.78,4/4/2025
Exscape,Montell Fish,Her Love Still Haunts Me Like a Ghost,63,2.37,4/4/2025
Sunshine & Rain...,Kali Uchis,Sunshine & Rain...,60,3.3,4/2/2025
Show Me Love,WizTheMc & bees & honey,Show Me Love,89,2.95,4/2/2025
Scorsese Baby Daddy,SZA,SOS Deluxe: LANA,69,2.57,4/2/2025
undressed,sombr,undressed,88,3.03,4/2/2025
warm,Ariana Grande,eternal sunshine deluxe: brighter days ahead,71,3.37,4/2/2025
Hard Out Here.,RAYE,My 21st Century Blues,62,3.19,4/2/2025
BROTHERZ,RAVA,BROTHERZ,49,3.95,3/28/2025
Dark Matter,Pearl Jam,Dark Matter,50,3.53,3/26/2025
Dissolve,Absofacto & NITESHIFT,Thousand Peaces,59,3.74,3/25/2025
Tes yeux verts,Feu! Chatterton,L’oiseleur,39,3.35,3/25/2025
why are we like this,sombr,in another life,54,2.58,3/22/2025
Înainte Să Ne Fi Născut,The Motans,My Rhythm & Soul,43,4.02,3/19/2025
În golul tău,The Motans & RAVA,Midnight Gems,35,2.61,3/19/2025
Love On The Brain,Rihanna,ANTI (Deluxe),84,3.73,3/17/2025
Grade A (feat. JAWNY),spill tab & JAWNY,Grade A (feat. JAWNY),45,1.78,3/16/2025
Break My Baby,KALEO,Surface Sounds,64,4.43,3/16/2025
"Miracle, Baby",Nothing But Thieves,Moral Panic (The Complete Edition),45,3.67,3/16/2025
Chapstick,COIN,Uncanny Valley,56,3.22,3/16/2025
DI MI NOMBRE - Cap.8: Éxtasis,ROSALÍA,El Mal Querer,59,2.71,3/14/2025
PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,El Mal Querer,60,3.23,3/14/2025
Lo Vas A Olvidar (with ROSALÍA),Billie Eilish & ROSALÍA,Lo Vas A Olvidar (with ROSALÍA),61,3.39,3/14/2025
TKN (feat. Travis Scott),ROSALÍA & Travis Scott,TKN (feat. Travis Scott),66,2.16,3/14/2025
"Yo x Ti, Tu x Mi",ROSALÍA & Ozuna,"Yo x Ti, Tu x Mi",70,3.35,3/14/2025
DESPECHÁ,ROSALÍA,MOTOMAMI +,70,2.61,3/14/2025
Born Again (feat. Doja Cat & RAYE),LISA & Doja Cat & RAYE,Alter Ego,77,3.85,3/13/2025
Perfect Celebrity,Lady Gaga,MAYHEM,69,3.82,3/13/2025
Sorry I'm Here For Someone Else,Benson Boone,Sorry I'm Here For Someone Else,75,2.61,3/12/2025
Garden Of Eden,Lady Gaga,MAYHEM,76,4,3/12/2025
Handlebars (feat. Dua Lipa),JENNIE & Dua Lipa,Ruby,76,3.08,3/12/2025
Dreamland,Fox Stevenson,Killjoy,50,4.02,3/11/2025
Phoenix,Netrum & Halvorsen,Phoenix,50,3.97,3/11/2025
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",78,4.49,3/7/2025
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,The Wall (Remastered),7,3.81,3/6/2025
FXCK UP THE WORLD (feat. Future),LISA & Future,Alter Ego,71,3.07,3/5/2025
Abracadabra,Lady Gaga,Abracadabra,83,3.72,3/5/2025
pretty girl I’ll make you famous,Chandler Leighton,pretty girl I’ll make you famous,55,2.75,3/5/2025
"Sally, When The Wine Runs Out",ROLE MODEL,Kansas Anymore (The Longest Goodbye),81,3.64,3/5/2025
Blue Moon,Stela Cole,Blue Moon,28,3.29,3/5/2025
ExtraL (feat. Doechii),JENNIE & Doechii,ExtraL (feat. Doechii),71,2.8,3/5/2025
party 4 u,Charli xcx,how i'm feeling now,86,4.94,3/5/2025
FORGET YOU,Dutch Melrose,FORGET YOU,62,2.56,3/5/2025
It Isn’t Perfect But It Might Be - from “Bridget Jones: Mad About the Boy” Original Motion Picture Soundtrack,Olivia Dean,It Isn’t Perfect But It Might Be (from “Bridget Jones: Mad About the Boy” Original Motion Picture Soundtrack),76,3.6,3/5/2025
last night's mascara,Griff,Vertigo (Tour Edition),59,2.96,3/4/2025
Same Old Story,THE DRIVER ERA & Ross Lynch & Rocky,Same Old Story,12,2.87,3/4/2025
BUTTERFLY,MARINA,BUTTERFLY,53,4.43,3/4/2025
Red Velvet (with Ari Abdul),Jutes & Ari Abdul,Red Velvet (with Ari Abdul),57,3.1,3/4/2025
Chemistry,Gigi Perez,Chemistry,56,4.74,3/4/2025
High Fashion,Addison Rae,High Fashion,57,3.3,3/4/2025
Outside,Asal,Outside,52,2.64,2/28/2025
Cigarette Stub,Asal,Missing Something,55,2.99,2/28/2025
In a Night,Asal,Missing Something,59,2.43,2/28/2025
Home,Isabel LaRosa,Home,56,2.28,2/28/2025
DIRTY LITTLE SECRET,Nessa Barrett,AFTERCARE,59,3.58,2/27/2025
All I Ever Asked (with sombr),Rachel Chinouriri & sombr,All I Ever Asked (with sombr),67,3.63,2/27/2025
caroline,Artemas,yustyna,64,2.94,2/27/2025
makes me want you,sombr,makes me want you,72,2.68,2/27/2025
Too Much,Dove Cameron,Too Much,73,2.86,2/27/2025
AMERICAN BEAUTY,Nessa Barrett,AFTERCARE DELUXE,50,3.28,2/27/2025
BLUE VALENTINE,Nessa Barrett,AFTERCARE DELUXE,50,2.52,2/27/2025
LOVE LOOKS PRETTY ON YOU,Nessa Barrett,AFTERCARE DELUXE,62,3.22,2/27/2025
Breakin' Dishes,Rihanna,Good Girl Gone Bad: Reloaded,87,3.34,2/27/2025
back to friends,sombr,back to friends,94,3.32,2/27/2025
ketamine,mehro,Trauma Lullabies,49,2.49,2/27/2025
Miss possessive,Tate McRae,So Close To What,76,2.32,2/25/2025
Nostalgia,Tate McRae,So Close To What,65,3.06,2/25/2025
The Weight of Dreams,Greta Van Fleet,The Battle at Garden’s Gate,47,8.86,2/25/2025
Revolving door,Tate McRae,So Close To What,85,3,2/23/2025
RIDE OR DIE,V:RGO & Sami Issa & Trey Stellar,LOTUS,37,3.69,2/23/2025
ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,82,4.42,2/23/2025
Dear god,Tate McRae,So Close To What,69,2.85,2/21/2025
Me and Your Mama,Childish Gambino,"""Awaken, My Love!""",78,6.32,2/19/2025
List Of People (To Try And Forget About),Tame Impala,Currents B-Sides & Remixes,56,4.67,2/18/2025
No Choice,Tame Impala,The Slow Rush B-Sides & Remixes,54,3.7,2/18/2025
West Coast,Lana Del Rey,Ultraviolence (Deluxe),82,4.28,2/17/2025
Kylie Jenner,candyboii & RAVA,Kylie Jenner,48,3.03,2/17/2025
Stardust Chords,Greta Van Fleet,The Battle at Garden’s Gate,52,4.96,2/17/2025
MAZDA,RAVA & Johny Romano,LUCIFER,53,2.5,2/10/2025
Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),84,3.59,2/3/2025
DVD,George Barnett,DVD,49,4.13,1/28/2025
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,15,3.59,1/28/2025
Will We Make It?,HIMALAYAS,From Hell to Here,42,3.59,1/28/2025
Number 13,Nothing But Thieves,Broken Machine (Deluxe),43,2.95,1/28/2025
Ultraviolence,Lana Del Rey,Ultraviolence (Deluxe),79,4.19,1/28/2025
Illusion,Fizzy Blood,Pink Magic,33,3.48,1/28/2025
Be Your Man,Demob Happy,Holy Doom,44,3.6,1/28/2025
Deleted,Hidden Pillars,Deleted,46,3.04,1/28/2025
sadisfaction,Sick Joy,WE'RE ALL GONNA F***ING DIE.,37,2.73,1/28/2025
Begging,Bisou Noir,Begging,34,2.52,1/28/2025
Pop The Balloon,Nothing But Thieves,Dead Club City,43,4.52,1/28/2025
Exoskeleton,VANT,Conceived in the Sky,41,3.95,1/28/2025
Slow,Airways,Terrible Town,47,3.13,1/28/2025
stay numb,Sick Joy,WE'RE ALL GONNA F***ING DIE.,37,3.03,1/28/2025
Drawing Pins,Nothing But Thieves,Nothing But Thieves (Track by Track),35,3.62,1/28/2025
Heat Above,Greta Van Fleet,The Battle at Garden’s Gate,63,5.69,1/28/2025
Silver Spoon,Modern Alibi,Silver Spoon,30,3.76,1/28/2025
Wires,The Neighbourhood,I Love You. (10th Anniversary Edition),58,3.22,1/28/2025
Highway Tune,Greta Van Fleet,From The Fires,70,3.01,1/28/2025
IDWBS,Friday Pilots Club,"I LOVE YOU, ROBOT SUPERSTAR!",45,3.43,1/28/2025
Potions,LEAP,One Million Pieces,45,3.27,1/28/2025
Jaded,Betcha,Placebo,48,2.82,1/28/2025
Fistful Of Money,LEAP,Dark Habits,49,3.86,1/28/2025
SleepWalker,LEAP,Dark Habits,41,3.63,1/28/2025
Life's Coming in Slow - from GRAN TURISMO 7,Nothing But Thieves,Life's Coming in Slow (from GRAN TURISMO 7),50,2.83,1/28/2025
One Million Pieces,LEAP,One Million Pieces,42,3.41,1/28/2025
Tomorrow Is Closed,Nothing But Thieves,Dead Club City,56,3.97,1/28/2025
Exit Signs,LEAP,Dark Habits,56,4.47,1/27/2025
Forever,Labrinth,Euphoria (Original Score from the HBO Series),67,3.38,1/26/2025
Sports car,Tate McRae,Sports car,80,2.75,1/25/2025
Dakota,Stereophonics,Language.Sex.Violence.Other?,73,4.96,1/18/2025
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,84,4.45,1/18/2025
Hermit the Frog,MARINA,The Family Jewels,65,3.6,1/14/2025
Yummy - Righteous Remix,Ayesha Erotica & Mo Beats,Yummy (Righteous Remix),74,2.73,1/14/2025
Will you cry?,Gracie Abrams,Good Riddance (Deluxe),60,3.84,1/14/2025
MAZKO,S4nri0 & MC LyC4N,MAZKO,72,1.26,1/7/2025
LA COMBI VERSACE,ROSALÍA & Tokischa,MOTOMAMI,63,2.69,1/7/2025
